year,race,age,count,binned
2019,A,16,1,<=20 Years
2019,A,20,1,<=20 Years
2019,A,23,1,21-40 Years
2019,A,26,1,21-40 Years
2019,A,31,1,21-40 Years
2019,A,32,2,21-40 Years
2019,A,34,1,21-40 Years
2019,A,35,1,21-40 Years
2019,A,38,2,21-40 Years
2019,A,45,1,41-60 Years
2019,A,46,1,41-60 Years
2019,A,47,1,41-60 Years
2019,A,49,2,41-60 Years
2019,A,52,1,41-60 Years
2019,A,54,1,41-60 Years
2019,B,17,4,<=20 Years
2019,B,18,9,<=20 Years
2019,B,19,8,<=20 Years
2019,B,20,7,<=20 Years
2019,B,21,9,21-40 Years
2019,B,22,11,21-40 Years
2019,B,23,8,21-40 Years
2019,B,24,9,21-40 Years
2019,B,25,6,21-40 Years
2019,B,26,7,21-40 Years
2019,B,27,12,21-40 Years
2019,B,28,11,21-40 Years
2019,B,29,3,21-40 Years
2019,B,30,11,21-40 Years
2019,B,31,17,21-40 Years
2019,B,32,11,21-40 Years
2019,B,33,6,21-40 Years
2019,B,34,7,21-40 Years
2019,B,35,5,21-40 Years
2019,B,36,4,21-40 Years
2019,B,37,7,21-40 Years
2019,B,38,4,21-40 Years
2019,B,39,8,21-40 Years
2019,B,40,4,21-40 Years
2019,B,41,5,41-60 Years
2019,B,42,2,41-60 Years
2019,B,43,3,41-60 Years
2019,B,44,2,41-60 Years
2019,B,45,4,41-60 Years
2019,B,46,4,41-60 Years
2019,B,47,3,41-60 Years
2019,B,48,1,41-60 Years
2019,B,49,4,41-60 Years
2019,B,50,2,41-60 Years
2019,B,51,2,41-60 Years
2019,B,52,2,41-60 Years
2019,B,53,1,41-60 Years
2019,B,54,2,41-60 Years
2019,B,55,1,41-60 Years
2019,B,57,2,41-60 Years
2019,B,58,2,41-60 Years
2019,B,60,1,41-60 Years
2019,B,61,3,Over 60 Years
2019,B,62,1,Over 60 Years
2019,B,65,1,Over 60 Years
2019,B,67,1,Over 60 Years
2019,B,68,2,Over 60 Years
2019,B,70,1,Over 60 Years
2019,B,74,1,Over 60 Years
2019,H,14,1,<=20 Years
2019,H,16,2,<=20 Years
2019,H,17,3,<=20 Years
2019,H,18,5,<=20 Years
2019,H,19,1,<=20 Years
2019,H,20,4,<=20 Years
2019,H,21,4,21-40 Years
2019,H,22,4,21-40 Years
2019,H,24,2,21-40 Years
2019,H,25,2,21-40 Years
2019,H,26,7,21-40 Years
2019,H,27,4,21-40 Years
2019,H,28,6,21-40 Years
2019,H,29,9,21-40 Years
2019,H,30,4,21-40 Years
2019,H,31,1,21-40 Years
2019,H,32,4,21-40 Years
2019,H,33,8,21-40 Years
2019,H,34,9,21-40 Years
2019,H,35,10,21-40 Years
2019,H,36,2,21-40 Years
2019,H,37,10,21-40 Years
2019,H,38,9,21-40 Years
2019,H,39,4,21-40 Years
2019,H,40,3,21-40 Years
2019,H,41,5,41-60 Years
2019,H,42,4,41-60 Years
2019,H,43,1,41-60 Years
2019,H,45,2,41-60 Years
2019,H,46,2,41-60 Years
2019,H,47,4,41-60 Years
2019,H,48,1,41-60 Years
2019,H,49,1,41-60 Years
2019,H,50,4,41-60 Years
2019,H,51,3,41-60 Years
2019,H,52,4,41-60 Years
2019,H,53,1,41-60 Years
2019,H,55,1,41-60 Years
2019,H,57,1,41-60 Years
2019,H,59,1,41-60 Years
2019,H,61,1,Over 60 Years
2019,H,62,1,Over 60 Years
2019,H,63,1,Over 60 Years
2019,N,18,1,<=20 Years
2019,N,25,2,21-40 Years
2019,N,27,2,21-40 Years
2019,N,32,1,21-40 Years
2019,N,34,1,21-40 Years
2019,N,35,1,21-40 Years
2019,N,39,1,21-40 Years
2019,N,40,1,21-40 Years
2019,N,42,1,41-60 Years
2019,N,58,1,41-60 Years
2019,O,23,1,21-40 Years
2019,O,27,1,21-40 Years
2019,O,30,1,21-40 Years
2019,O,34,1,21-40 Years
2019,O,36,1,21-40 Years
2019,O,40,1,21-40 Years
2019,O,45,1,41-60 Years
2019,O,51,1,41-60 Years
2019,O,59,1,41-60 Years
2019,W,17,2,<=20 Years
2019,W,18,1,<=20 Years
2019,W,19,3,<=20 Years
2019,W,20,9,<=20 Years
2019,W,21,3,21-40 Years
2019,W,22,3,21-40 Years
2019,W,23,6,21-40 Years
2019,W,24,5,21-40 Years
2019,W,25,9,21-40 Years
2019,W,26,9,21-40 Years
2019,W,27,11,21-40 Years
2019,W,28,18,21-40 Years
2019,W,29,17,21-40 Years
2019,W,30,10,21-40 Years
2019,W,31,13,21-40 Years
2019,W,32,7,21-40 Years
2019,W,33,12,21-40 Years
2019,W,34,17,21-40 Years
2019,W,35,10,21-40 Years
2019,W,36,8,21-40 Years
2019,W,37,7,21-40 Years
2019,W,38,10,21-40 Years
2019,W,39,7,21-40 Years
2019,W,40,7,21-40 Years
2019,W,41,10,41-60 Years
2019,W,42,12,41-60 Years
2019,W,43,7,41-60 Years
2019,W,44,6,41-60 Years
2019,W,45,10,41-60 Years
2019,W,46,10,41-60 Years
2019,W,47,12,41-60 Years
2019,W,48,9,41-60 Years
2019,W,49,9,41-60 Years
2019,W,50,5,41-60 Years
2019,W,51,9,41-60 Years
2019,W,52,5,41-60 Years
2019,W,53,4,41-60 Years
2019,W,54,5,41-60 Years
2019,W,55,4,41-60 Years
2019,W,56,8,41-60 Years
2019,W,57,9,41-60 Years
2019,W,58,11,41-60 Years
2019,W,59,6,41-60 Years
2019,W,60,3,41-60 Years
2019,W,61,5,Over 60 Years
2019,W,62,4,Over 60 Years
2019,W,63,4,Over 60 Years
2019,W,64,2,Over 60 Years
2019,W,65,3,Over 60 Years
2019,W,66,2,Over 60 Years
2019,W,67,1,Over 60 Years
2019,W,68,2,Over 60 Years
2019,W,69,1,Over 60 Years
2019,W,70,1,Over 60 Years
2019,W,74,1,Over 60 Years
2019,W,75,1,Over 60 Years
2019,W,76,2,Over 60 Years
2019,W,77,1,Over 60 Years
2019,W,80,1,Over 60 Years
