year,month,count
2015,Apr,88
2015,Aug,86
2015,Dec,83
2015,Feb,77
2015,Jan,70
2015,Jul,85
2015,Jun,68
2015,Mar,87
2015,May,85
2015,Nov,80
2015,Oct,91
2015,Sep,90
2016,Apr,74
2016,Aug,79
2016,Dec,73
2016,Feb,79
2016,Jan,84
2016,Jul,78
2016,Jun,89
2016,Mar,89
2016,May,82
2016,Nov,82
2016,Oct,77
2016,Sep,71
2017,Apr,91
2017,Aug,83
2017,Dec,78
2017,Feb,80
2017,Jan,93
2017,Jul,86
2017,Jun,78
2017,Mar,86
2017,May,75
2017,Nov,72
2017,Oct,88
2017,Sep,74
2018,Apr,72
2018,Aug,73
2018,Dec,87
2018,Feb,68
2018,Jan,99
2018,Jul,95
2018,Jun,92
2018,Mar,89
2018,May,93
2018,Nov,83
2018,Oct,73
2018,Sep,65
2019,Apr,71
2019,Aug,68
2019,Dec,97
2019,Feb,70
2019,Jan,98
2019,Jul,80
2019,Jun,80
2019,Mar,86
2019,May,90
2019,Nov,80
2019,Oct,93
2019,Sep,85
2020,Apr,55
2020,Aug,16
2020,Dec,15
2020,Feb,69
2020,Jan,73
2020,Jul,22
2020,Jun,59
2020,Mar,74
2020,May,94
2020,Nov,16
2020,Oct,13
2020,Sep,25
