year,race,binned,binned
2015,A,<=20 Years,0
2015,A,21-40 Years,9
2015,A,41-60 Years,4
2015,A,Over 60 Years,0
2015,B,<=20 Years,31
2015,B,21-40 Years,172
2015,B,41-60 Years,42
2015,B,Over 60 Years,6
2015,H,<=20 Years,9
2015,H,21-40 Years,124
2015,H,41-60 Years,37
2015,H,Over 60 Years,1
2015,N,<=20 Years,1
2015,N,21-40 Years,7
2015,N,41-60 Years,1
2015,N,Over 60 Years,0
2015,O,<=20 Years,3
2015,O,21-40 Years,7
2015,O,41-60 Years,5
2015,O,Over 60 Years,0
2015,W,<=20 Years,28
2015,W,21-40 Years,243
2015,W,41-60 Years,192
2015,W,Over 60 Years,31
2016,A,<=20 Years,2
2016,A,21-40 Years,7
2016,A,41-60 Years,5
2016,A,Over 60 Years,1
2016,B,<=20 Years,34
2016,B,21-40 Years,156
2016,B,41-60 Years,30
2016,B,Over 60 Years,4
2016,H,<=20 Years,11
2016,H,21-40 Years,112
2016,H,41-60 Years,26
2016,H,Over 60 Years,6
2016,N,<=20 Years,1
2016,N,21-40 Years,12
2016,N,41-60 Years,3
2016,N,Over 60 Years,0
2016,O,<=20 Years,1
2016,O,21-40 Years,8
2016,O,41-60 Years,2
2016,O,Over 60 Years,0
2016,W,<=20 Years,16
2016,W,21-40 Years,248
2016,W,41-60 Years,177
2016,W,Over 60 Years,26
2017,A,<=20 Years,3
2017,A,21-40 Years,9
2017,A,41-60 Years,4
2017,A,Over 60 Years,0
2017,B,<=20 Years,26
2017,B,21-40 Years,141
2017,B,41-60 Years,48
2017,B,Over 60 Years,5
2017,H,<=20 Years,22
2017,H,21-40 Years,117
2017,H,41-60 Years,34
2017,H,Over 60 Years,4
2017,N,<=20 Years,3
2017,N,21-40 Years,17
2017,N,41-60 Years,2
2017,N,Over 60 Years,0
2017,O,<=20 Years,0
2017,O,21-40 Years,5
2017,O,41-60 Years,1
2017,O,Over 60 Years,0
2017,W,<=20 Years,18
2017,W,21-40 Years,243
2017,W,41-60 Years,162
2017,W,Over 60 Years,36
2018,A,<=20 Years,1
2018,A,21-40 Years,12
2018,A,41-60 Years,7
2018,A,Over 60 Years,1
2018,B,<=20 Years,20
2018,B,21-40 Years,151
2018,B,41-60 Years,44
2018,B,Over 60 Years,8
2018,H,<=20 Years,16
2018,H,21-40 Years,94
2018,H,41-60 Years,45
2018,H,Over 60 Years,2
2018,N,<=20 Years,1
2018,N,21-40 Years,11
2018,N,41-60 Years,3
2018,N,Over 60 Years,0
2018,O,<=20 Years,0
2018,O,21-40 Years,3
2018,O,41-60 Years,0
2018,O,Over 60 Years,0
2018,W,<=20 Years,27
2018,W,21-40 Years,232
2018,W,41-60 Years,147
2018,W,Over 60 Years,42
2019,A,<=20 Years,2
2019,A,21-40 Years,9
2019,A,41-60 Years,7
2019,A,Over 60 Years,0
2019,B,<=20 Years,28
2019,B,21-40 Years,160
2019,B,41-60 Years,43
2019,B,Over 60 Years,10
2019,H,<=20 Years,16
2019,H,21-40 Years,102
2019,H,41-60 Years,35
2019,H,Over 60 Years,3
2019,N,<=20 Years,1
2019,N,21-40 Years,9
2019,N,41-60 Years,2
2019,N,Over 60 Years,0
2019,O,<=20 Years,0
2019,O,21-40 Years,6
2019,O,41-60 Years,3
2019,O,Over 60 Years,0
2019,W,<=20 Years,15
2019,W,21-40 Years,189
2019,W,41-60 Years,154
2019,W,Over 60 Years,31
2020,A,<=20 Years,1
2020,A,21-40 Years,5
2020,A,41-60 Years,2
2020,A,Over 60 Years,0
2020,B,<=20 Years,15
2020,B,21-40 Years,67
2020,B,41-60 Years,21
2020,B,Over 60 Years,3
2020,H,<=20 Years,5
2020,H,21-40 Years,50
2020,H,41-60 Years,12
2020,H,Over 60 Years,0
2020,N,<=20 Years,0
2020,N,21-40 Years,2
2020,N,41-60 Years,1
2020,N,Over 60 Years,0
2020,O,<=20 Years,1
2020,O,21-40 Years,2
2020,O,41-60 Years,0
2020,O,Over 60 Years,0
2020,W,<=20 Years,7
2020,W,21-40 Years,116
2020,W,41-60 Years,66
2020,W,Over 60 Years,15
